,nom,nconst
2890,AliceWinocour,nm1356951
6492,FabianHernandez,nm13576263
6814,Jean-ChristopheLie,nm1358030
5266,AndrewHyatt,nm1358366
7332,HakimBougheraba,nm13585246
7362,DavidErnaux-Briot,nm13588396
1968,XabiMolia,nm1360317
6450,MariePerennes,nm13605657
2681,StephaneRybojad,nm1360702
5865,SamuelTourneux,nm1361017
7438,JohannesWeiland,nm1361162
967,JeromeSalle,nm1362432
1904,RaduMuntean,nm1364086
5058,JurgenHansen,nm1365821
3641,MorganNeville,nm1365879
7363,LinaTsrimova,nm13660039
6493,FannyMolins,nm13660081
5188,LevonMinasian,nm1367560
6878,Bent-JorgenPerlmutt,nm1367752
705,GaryChapman,nm1369705
3407,AlejandroFadel,nm1375024
2861,JonHurwitz,nm1375358
6905,FaustaQuattrini,nm1376193
6854,HaydenSchlossberg,nm1376383
3132,SantiagoMitre,nm1377207
2264,WangChao,nm13773504
3525,JazminLopez,nm1377508
4045,DavidRobertMitchell,nm1379002
6262,EmanueleGerosa,nm13794877
5689,StephaneManchematin,nm1380807
2904,DaceRiduze,nm1381419
7220,MaximBouffard,nm13817245
3337,AdamLeon,nm1383301
5754,MelinaLeon,nm1383771
4754,Guy-RogerDuvert,nm1384853
1626,JulietteGarcias,nm1385123
2461,JR,nm13865931
1529,NicolasBary,nm1388428
953,ByambasurenDavaa,nm1389025
5437,MartinDeus,nm1389105
6853,SandorJesse,nm1389969
4763,NeerajPandey,nm13902373
3333,GaryShore,nm1391638
1402,GustavoTaretto,nm1391924
7107,ToddWilderman,nm1392282
3821,AmmaAsante,nm1392994
3748,FriederikeJehn,nm1393934
5441,WanuriKahiu,nm1393967
5643,ErickMalabry,nm1394264
1918,DaveFiloni,nm1396048
4849,MakotoShinkai,nm1396121
7302,SophieMartin,nm13963120
2166,TawfikAbuWael,nm1397160
6222,JeanneAslan,nm13976855
5527,RonanLePage,nm1398405
6179,ScottBeck,nm1399714
1982,Jean-PaulJaud,nm1399853
2209,DanielBarnz,nm1400426
3485,ClaraBouffartigue,nm1401655
5445,RohenaGera,nm1402184
5153,BorisKhlebnikov,nm1402557
5334,HeatherLenz,nm1405022
4069,FlorianHabicht,nm1406740
7114,DareshaKyi,nm1407080
5739,DavidBruckner,nm1410159
1125,AsgharFarhadi,nm1410815
7469,MartaFarina,nm14115050
2508,ChristianMerlhiot,nm1412350
4326,ArielSchulman,nm1413364
2387,SamuelMaoz,nm1413443
6993,PetarValchanov,nm1414010
7530,DavidScanlon,nm1414537
3486,AlexandreCastagnetti,nm1415190
5532,LudovicColbeau-Justin,nm1415268
3033,JonathanCaouette,nm14158049
836,CorentinJulius,nm1415953
3855,RichieMehta,nm1416352
6432,VaskenToranian,nm14164521
1501,StephaneRobelin,nm1416796
5781,HaruoSotozaki,nm1417038
2998,AdamWingard,nm1417392
4388,AlanteKavaite,nm1419321
2140,PhilippeBeziat,nm1419674
4451,SavinaDellicour,nm1419947
5814,K.Selvaraghavan,nm1421754
3293,EdGass-Donnelly,nm1424878
6858,PedroPeirano,nm1425747
5778,VeroniqueReymond,nm1425885
2990,AndrewRossi,nm1427149
1036,EdmondBensimon,nm1428145
7119,RossStewart,nm14291209
916,JaumeCollet-Serra,nm1429471
6527,JamilaJendari,nm14306320
5792,LucioCastro,nm1431281
2418,JohanGrimonprez,nm1431615
5671,JoaquimDosSantos,nm14337700
2179,CherienDabis,nm1435062
3497,EdouardDeluc,nm1435120
3042,RolandEdzard,nm1435267
1758,JamesHoneyborne,nm1435800
3750,AndrzejJakimowski,nm1435889
2752,DominiqueMargot,nm1436468
7408,JavierAbad,nm14365884
3125,MilagrosMumenthaler,nm1436684
3588,A.R.Murugadoss,nm1436693
1114,PannaRittikrai,nm1437277
2966,StephanStreker,nm1437690
5312,JoBeranger,nm1438338
3187,ChristopheCoello,nm1439335
3175,PaulAndrewWilliams,nm1440314
1973,MarinaDeak,nm1441193
3375,DyanaGaye,nm1441432
1346,MarwanHamed,nm1441566
6812,SebastienJousse,nm1441764
3382,BenedictePagnot,nm1442345
4455,S.S.Rajamouli,nm1442514
3654,EmmanuelSaada,nm1442622
6485,ManuelaMartelli,nm1443757
6554,ManonTurina,nm14496329
7377,FrancoisMarques,nm14496330
6187,CecileDucrocq,nm1449733
3353,HerveLasgouttes,nm1450455
4905,MarinePlace,nm1450980
7350,AdrienSoland,nm1451340
7537,JaimeenDesai,nm14520987
3145,BenRivers,nm14521089
1958,UrosStojanovic,nm1452689
4039,AtsukoHirayanagi,nm1454680
4463,AntoineLanciaux,nm1454993
3709,AntoninPeretjatko,nm1455506
573,EricFraticelli,nm1455540
2734,JulieAnneRobinson,nm1455688
7307,BryanWoods,nm1456816
4095,MaxJoseph,nm14570906
4435,FaridBentoumi,nm1457966
5853,MonikaBorgmann,nm1458034
1897,PabloFendrik,nm1458527
4228,ElenaHazanov,nm14585385
4363,CiroGuerra,nm1458734
6587,ValerieGuillaudot,nm14587907
6351,AnnaJadowska,nm1458965
7007,MarteVold,nm1460498
4756,FrancoisDamiens,nm1460782
899,LaurenceDunmore,nm1461380
959,JoachimRonning,nm1461392
1069,RemiBezancon,nm1462495
4693,FredericCerulli,nm1462792
5342,KikoGoifman,nm1463602
637,ChristopheCousin,nm14636248
3045,EmmanuelGras,nm1463658
955,AlexandraLeclere,nm1464507
873,SafyNebbou,nm1465130
2768,RodolfoPastor,nm1465355
6516,AlexandreO.Philippe,nm1465431
3862,SubarnaThapa,nm1466372
32,ChristianVolckman,nm1466691
2426,CristianJimenez,nm14669101
5748,RichardWong,nm1471372
2967,CedricJimenez,nm1473428
5257,FerminMuguruza,nm1474346
6582,Florie-AnneBerrehar,nm14744653
6600,AlineGeller,nm14753585
1544,JimStrouse,nm1475479
4679,AndresWaissbluth,nm1475898
6767,MatWhitecross,nm1475971
5353,JeremiahZagar,nm1476102
5023,ChristopherJenkins,nm14769012
6597,FredericTouchard,nm14769719
1900,EmilyAtef,nm1477692
6084,Jean-PierreLledo,nm1477708
3479,BoraDagtekin,nm1480916
1579,LeaFazer,nm1481060
1658,GilKenan,nm1481493
3998,BalajiK.Kumar,nm1481591
3539,PeterLandesman,nm1481618
3343,MajaMilos,nm1481851
4271,JenniferLee,nm14819192
5085,MasaakiYuasa,nm1482702
6134,VladimirPikalik,nm14833673
1417,NicolasAlberny,nm1485668
1674,NicolasHulot,nm1486923
5215,AnnemarieJacir,nm1486975
3065,MohammadRasoulof,nm1488024
2774,AlainTixier,nm1488578
6214,TiWest,nm1488800
956,JamesWan,nm1490123
4771,RachidHami,nm1492932
2523,MikhaelHers,nm1492984
2441,PierreCreton,nm1495944
7046,FrancoisBrisson,nm1496018
4734,PierreFilmon,nm1496024
3964,SimonLeclere,nm1496036
2594,GiovanniCioni,nm1496914
999,AndrewDouglas,nm1497918
6130,EmmanuelleGorgiard,nm1499212
7367,AmadouMariko,nm14993218
3252,TamerKaradagli,nm1499518
3123,JakeSchreier,nm1500577
4578,BarryJenkins,nm1503575
1601,WangBing,nm1504063
2626,MichelangeloFrammartino,nm1506005
6417,JesusPerez,nm15071677
4461,EmmanuelLeconte,nm1508044
2946,EliseGirard,nm1509908
1668,DuncanJones,nm1512910
4629,GuilhemAmesland,nm1513041
7155,CristinaGallego,nm1514246
3286,HelenaKlotz,nm1514932
2561,LeonPrudovsky,nm1515156
1759,Jean-BaptisteLeonetti,nm1515266
5395,NatachaNisic,nm1515680
3921,Jean-GabrielPeriot,nm1516014
4009,StephanieValloatto,nm1516880
6886,GuyDavidi,nm1519079
3856,MarcBauder,nm1519249
4248,RobertBudreau,nm1519253
5311,DavidTeboul,nm1519362
7314,AdamNee,nm1519639
3004,SophieLellouche,nm1523943
5552,JosephinedeMeaux,nm1525639
6749,DanielMermet,nm1526073
2977,AlejandraSanchez,nm1527069
2706,ClaudioCupellini,nm1528905
75,SebastienBailly,nm1531044
2414,SharonMaymon,nm15310541
2686,JonGarano,nm1531686
1993,AlekseyGermanJr.,nm1531700
1637,DennisIliadis,nm1531934
7173,AitorArregi,nm1534594
865,NicolasVanier,nm1534640
1809,TomMcCarthy,nm1537100
3084,SandrineRinaldi,nm1541073
1068,BenoitPetre,nm1542818
2442,DominiqueMarchais,nm1543888
6089,AngelaOttobah,nm15457997
4721,ThanosAnastopoulos,nm1547879
2486,RichardAyoade,nm1547964
3423,AidaBegic,nm1548101
3686,Pierre-YvesBorgeaud,nm1548265
4330,KennethElvebakk,nm1549016
3037,VimukthiJayasundara,nm1549797
3678,YvesMontmayeur,nm1550829
6263,EvaVitija,nm1552548
6824,DennisWidmyer,nm1552637
5486,LaurentZeitoun,nm1552771
7136,JanLachauer,nm15528637
5165,JakobSchuh,nm15528638
7034,GavinKelly,nm15531503
4698,ThierryDemaiziere,nm1553504
2337,ElizabethChaiVasarhelyi,nm15551756
7085,BradAbleson,nm1556070
2577,KevinKolsch,nm1556116
4806,NickBruno,nm15566630
6230,ManuelNietoZas,nm15572965
4832,DanFogelman,nm1557594
3143,RomainLevy,nm1557889
2284,SamirAbdallah,nm1558425
6323,OmarElZohairy,nm15597751
3056,SherifArafa,nm15597770
4711,SherifElBendary,nm15597771
53,AlejandroGonzalezInarritu,nm15606490
1917,CaryJojiFukunaga,nm1560977
4107,Jacques-HerveFichet,nm1561200
6833,JulienLacombe,nm1561227
2641,PascalSid,nm1561267
3238,PatrickWang,nm15616360
1559,PascalHerold,nm1562741
394,RaoulRuiz,nm15637835
5912,WaheedKhan,nm15640599
5297,Jean-BaptisteGermain,nm1564557
2043,PhilippeFernandez,nm1564674
6896,WilliamSpicer,nm15655927
4457,JeromeCommandeur,nm1569942
2371,YannGozlan,nm1571412
6501,LaurentGranier,nm15714374
4188,KristinaGrozeva,nm1571492
3389,UweHeidschotter,nm1571765
3295,BartoszKonopka,nm1572674
3749,Ocean,nm1573797
2476,RigobertoPerezcano,nm1574929
4774,ColombeSavignac,nm1575562
5584,RodolpheViemont,nm1577006
6967,AlexandreZeff,nm1577466
3402,CaglaZencirci,nm1577474
2045,NeilThompson,nm1578200
6985,GabrielClarke,nm1578836
2108,KatellQuillevere,nm1580395
3911,JonS.Baird,nm1580671
7248,ThorbjornChristoffersen,nm1580685
2311,Jean-JacquesMantello,nm1580724
4499,GerardPautonnier,nm1580737
5727,AnnabelleAttanasio,nm1580890
1055,FredericBalekdjian,nm1584150
790,TariqTeguia,nm1589701
1140,ZachHelm,nm1590998
4307,Jean-DenisBonan,nm1593782
7208,AnnaFalgueres,nm1593894
7359,BarbaraBiancardini,nm1595014
2753,ReneBoHansen,nm1595247
3200,PaulLacoste,nm1595297
3847,FredericTellier,nm1595335
6891,GuillaumeGiovanetti,nm1597572
2891,YaronZilberman,nm1597629
4221,CamilleFontaine,nm1597664
6881,SarahClaraWeber,nm1598133
874,BernardJeanjean,nm1600822
3762,AbdAlMalik,nm1601029
5575,OlivierMeys,nm1601642
1840,ChristianPoveda,nm1601707
3181,FranckGuerin,nm1601875
3248,ClementMichel,nm1602507
5426,JulienSelleron,nm1604645
5373,AudreyDiwan,nm1604976
5200,NicolasGiraud,nm1604999
1613,DonalMacIntyre,nm1605098
2593,CheyenneCarron,nm1614980
4857,FabriceBenchaouche,nm1615062
4289,SannaLenken,nm1615371
2553,JoseAlcala,nm1615914
1945,NabilBenYadir,nm1616394
4431,MikkoKuparinen,nm1616860
7070,JimLujan,nm1621651
3038,AlejandroLandes,nm1622258
1836,FredericLepage,nm1622369
2100,MasahiroAndo,nm1622836
3325,EminAlper,nm1625220
5103,RobertoDePaolis,nm1625346
5874,JeromeCassou,nm1626330
4948,JohnTrengove,nm1626716
6556,MarjoryDejardin,nm1627214
5688,NarunaKaplandeMacedo,nm1628164
1527,PhyllidaLloyd,nm1630273
2970,DavidSoren,nm1631409
6261,CharlotteVandermeersch,nm1631468
1879,ChrisWaitt,nm1632389
2309,MichelFranco,nm1633015
2902,MarieLosier,nm1633031
4685,RolfWinters,nm1633430
4495,KaranMalhotra,nm1633551
5057,ThomasStuber,nm1635354
4511,LeenaYadav,nm1636742
5262,Xavier-MarieBonnot,nm1636970
1776,JimFieldSmith,nm1637768
3225,LizaJohnson,nm1637785
5036,DanielRoby,nm1637832
5476,HolgerTappe,nm1637852
7197,TheodoreTy,nm1639292
6986,JenniferGrausman,nm1639506
6223,TomGeorge,nm1643039
7072,DavideDelDegan,nm1644121
2403,SeverineCornamusaz,nm1644444
6514,KarineBlanc,nm1645431
7495,MartinDuda,nm1645698
3249,YarivHorowitz,nm1646003
6392,JustinLerner,nm1646016
7368,MichelTavares,nm1646066
4414,JoaoPedroPlacido,nm1647405
6685,EspenSandberg,nm1650283
4011,MarioFanfani,nm1654784
3929,AbdellahTaia,nm1655391
1524,MalekBensmail,nm1656176
3846,LucieBorleteau,nm1656178
4695,JulienSamani,nm1656220
2516,JavierFuentes-Leon,nm1659906
1851,AmatEscalante,nm1661334
1516,RogerDelattre,nm1661384
2570,MarianaChenillo,nm1662689
3618,ThomasLilti,nm1662707
1764,ArashT.Riahi,nm1662721
3734,HichamLasri,nm1662776
4320,MicahMagee,nm1665295
2608,KikeMaillo,nm1665932
4252,RaulArevalo,nm1666855
3717,RobertoMinervini,nm1667635
1859,JohnHindman,nm1668051
3178,RegisRoinsard,nm1672051
2860,PhilippedePierpont,nm1672091
4194,PascalBonnelle,nm1672744
3483,Jan-OleGerster,nm1673756
2049,AkivaSchaffer,nm1676223
5069,HendrickDusollier,nm1680247
3381,AtiqRahimi,nm1680298
4321,AlexanderNanau,nm1681049
5530,EvaTrobisch,nm1690765
7348,MarisBrinkmanis,nm1691968
2795,FredericChaudier,nm1697964
6760,EvanGoldberg,nm1698571
6484,AliCherri,nm1698697
5676,KirillMikhanovsky,nm1699715
3465,Francois-XavierVives,nm1699767
4146,SuhaArraf,nm1699780
2781,SeanDurkin,nm1699934
1393,NadineLabaki,nm1701024
3674,EmmanuelRoy,nm1701171
4728,EmmanuelParraud,nm1701261
7300,DenisaGrimmova,nm1703610
4747,JustinPemberton,nm1703633
4142,FranckRibiere,nm1703817
3878,StanleyJ.Orzel,nm1704795
1807,IginioStraffi,nm1709238
4868,GerardGuerrieri,nm1709871
7067,EmilieGrandperret,nm1710448
2373,ElliottLester,nm1714255
1975,NassimAmaouche,nm1715453
2767,FranciscoAvizanda,nm1715461
3612,SebastienBetbeder,nm1715466
3885,VijayKrishnaAcharya,nm1715502
4391,MarielleHeller,nm1716636
4770,NathalieMarchak,nm1717557
5899,JanKomasa,nm1717924
2263,CorneliuPorumboiu,nm1717949
5809,PascaleBodet,nm1719934
1199,DavidSlade,nm1720541
5371,BetsyWest,nm1723335
5360,HugoBachelet,nm1723338
5857,FlorianZeller,nm1725469
5794,DiegoGovernatori,nm1727315
6797,BrunoForzani,nm1729104
1483,NoamMurro,nm1729171
4503,LorenzoVigas,nm1729237
3781,CullenHoback,nm1730895
4236,TalyaLavie,nm1731479
2432,HeleneCattet,nm1732946
2042,LeilaKilani,nm1732967
1574,MartinMcDonagh,nm1732981
4098,JeffFowler,nm1733778
5884,DavyRothbart,nm1736326
1738,AnnaNovion,nm1738978
4211,EduardoMendozadeEchave,nm1740890
6658,JeanDuval,nm1741096
2886,MichaelR.Roskam,nm1742427
5687,AlbertoFasulo,nm1743991
6701,VincentParonnaud,nm1749112
2562,PierreThoretton,nm1750316
5409,CarolineFourest,nm1750425
2180,SophieBarthes,nm1754436
7165,ClaudiaPriscilla,nm1754549
3917,DaveGreen,nm1757777
5867,AlexandreChartrand,nm1760742
5563,YaronShani,nm1760871
5209,AndreaPallaoro,nm1761524
2859,RezaSerkanian,nm1761538
4344,JulienHallard,nm1763490
6692,DeborahSaiag,nm1764292
4627,PierreCore,nm1764568
6521,CamillePonsin,nm1765543
2467,TeddyLussi-Modeste,nm1768202
2469,AlixDelaporte,nm1768263
1885,MarkLinfield,nm1768412
2471,StephaneMercurio,nm1770750
5145,HerveMimran,nm1773597
2677,OleSchell,nm1778877
3913,AnnaMargaritaAlbelo,nm1779802
3599,GerminalAlvarez,nm1779804
6101,DanielKupferstein,nm1779857
5414,VeroniqueMeriadec,nm1780008
2868,CelineSciamma,nm1780037
5370,RanaKazkaz,nm1785287
1956,SophieLetourneur,nm1785320
3223,AncaHirte,nm1785649
5533,JennyGage,nm1788310
1991,FedeAlvarez,nm1793079
6050,RayYeung,nm1794148
3516,CaetanoGotardo,nm1795697
3245,WayneThornley,nm1798333
3944,DorisButtignol,nm1802049
2448,XiaoluGuo,nm1802151
3049,ArmelHostiou,nm1802173
3737,Jean-LoicPortron,nm1802298
7354,MatthieuVollaire,nm1802401
4828,SimonLerengWilmont,nm1802410
4516,Show-ChunLee,nm1802674
2943,DonovanMarsh,nm1804518
4513,AliAbbasZafar,nm1804614
4089,FellipeBarbosa,nm1805204
5363,CristianeOliveira,nm1814077
1602,LeeIsaacChung,nm1818032
1915,NachoG.Velilla,nm1818121
4552,ChristopheLioud,nm1818397
4923,AndreaBlock,nm1819612
4008,JohnMagary,nm1820340
6862,MarcoDutra,nm1824290
7312,OlivierDury,nm1825409
3487,EmmanuelKlotz,nm1827617
5043,WilliamEubank,nm1827931
1660,StephaneArnoux,nm1834139
5951,DamienFaure,nm1834162
5417,KasparJancis,nm1834186
2340,GaryMcKendry,nm1834213
3087,GillesBalbastre,nm1834263
5920,SophieDeraspe,nm1834561
4690,ManeeshSharma,nm1834891
5940,MarcMeyers,nm1836315
3675,JoshBoone,nm1837748
3699,MichaelNoer,nm1840064
4838,AmandaKernell,nm1840544
1105,LucileChaufour,nm1840846
5399,GerminalRoaux,nm1840925
4404,LaszloNemes,nm1841577
5864,JezabelMarques,nm1843049
6155,RodrigoPerez-Castro,nm1843105
2927,AndrewOkpeahaMacLean,nm1843186
2850,MikelRueda,nm1843271
2225,RuneDenstadLanglo,nm1847630
4736,AriSandel,nm1847738
1523,SamuelCollardey,nm1848357
3839,GuillaumeVincent,nm1852165
6121,JonasPoherRasmussen,nm1853542
3517,PierreCoffin,nm1853544
4000,PhilippePetit,nm1854297
3782,JavierGorleri,nm1854725
2588,VincentOstria,nm1855169
3529,DavidSieveking,nm1855384
6665,AliBenkirane,nm1856671
4087,TheoKamecke,nm1856739
6054,ArnaudMalherbe,nm1856944
3800,HillaMedalia,nm1857245
4946,JeremieBattaglia,nm1858547
4260,LinoDiSalvo,nm1863341
2157,LeaFehner,nm1864602
5250,MohamedAlDaradji,nm1865534
5821,LadjLy,nm1868177
6869,AlessandroCarloni,nm1868917
3324,NamirAbdelMesseeh,nm1870495
2727,NicolasBrossette,nm1870725
2443,AurelienLeveque,nm1871278
4675,PavelGiroud,nm1872405
3957,ZeresenayMehari,nm1877993
2332,JoseCelestinoCampusano,nm1879025
4354,FarrenBlackburn,nm1879225
4472,GuillaumeSenez,nm1879267
5637,SusanaNobre,nm1879535
1391,NelsonMcCormick,nm1879589
5497,AllanMauduit,nm1879912
3943,HaroldCronk,nm1880561
4791,PeterMackieBurns,nm1880984
1905,PabloLarrain,nm1883257
2154,AlexPastor,nm1883612
5009,LauraSchroeder,nm1883724
6043,ZeinaDurra,nm1884759
7525,IdrissDiabate,nm1885980
3394,GonzaloTobal,nm1886112
6122,DaniRosenberg,nm1887409
6204,AaronNee,nm1887480
5551,JessicaPalud,nm1888018
7417,AlicjaJaworski,nm1888232
3725,MarcelaSaid,nm1888700
3276,SeanAnders,nm1890845
6624,VivekAgnihotri,nm1892252
1907,PabloAguero,nm1893148
2957,EmilioRuizBarrachina,nm1893182
5898,SiddharthAnand,nm1893457
2840,AliSamadiAhadi,nm1893665
2602,RenateCosta,nm1897676
4825,MaudAlpi,nm1900923
1479,TonyLeondis,nm1902232
5682,BenoitGodbout,nm1902285
3120,BrahimFritah,nm1902512
4464,SebastienMarnier,nm1903612
7256,LokmanSlim,nm1904294
2239,OlivierZuchuat,nm1904507
2842,NicholasJarecki,nm1906430
6455,MikkoMyllylahti,nm1908787
5013,SophieBachelier,nm1908826
5651,FredericFarrucci,nm1912503
3799,LaurentTeyssier,nm1916385
6154,EdouardSalier,nm1919480
6494,AnnieErnaux,nm1919741
5574,AlejandroMonteverde,nm1920049
7093,MaxPugh,nm1922296
707,AlekseyFedorchenko,nm1922735
1568,AmandaSthers,nm1923551
2381,WernerBoote,nm1923741
2247,NicolasGuillou,nm1923983
1890,DavidCharhon,nm1925637
5541,JudithDavis,nm1927432
3954,BayaKasmi,nm1928581
4982,NaidraAyadi,nm1929699
6229,OlivierTreiner,nm1930518
4639,PepaSanMartin,nm1930893
6865,HakimZouhani,nm1930927
3246,AnaisBarbeau-Lavalette,nm1932706
4116,ArthurHarari,nm1932959
5980,EdwardA.Burger,nm1933076
2493,DomeKarukoski,nm1933648
5602,JulieManoukian,nm1933734
6062,JerryRothwell,nm1935753
6311,LevanKoguashvili,nm1936947
5523,BaniKhoshnoudi,nm1937881
2532,PedroGonzalez-Rubio,nm1938088
4609,EliteZexer,nm1938355
6083,EleonoreWeber,nm1939410
3371,JoelFranka,nm1940197
1456,HectorGalvez,nm1940598
1967,GerardoOlivares,nm1942303
2136,CamilleMauduech,nm1943615
7254,EricSerre,nm1947964
6409,HajimeHashimoto,nm1947983
2256,RiittaNelimarkka,nm1949261
2261,MatthieuDonck,nm1950061
457,GretaGerwig,nm1950086
3068,FrancoisPirot,nm1950921
7387,JeremyDepuydt,nm1953101
4732,WissamCharaf,nm1953429
6899,TravisMathews,nm1953841
2245,RobertoCaston,nm1954420
4171,ErnestoDaranas,nm1954936
4661,HubertWoroniecki,nm1955529
3424,EnriqueGato,nm1955897
2648,RenaudBarret,nm1956560
4371,ClaudeBarras,nm1957706
6397,CedricIdo,nm1957956
2080,AlexIordachescu,nm1958147
6333,IreneIborra,nm1958771
3290,PelinEsmer,nm1959064
3461,HernanGoldfrid,nm1961274
5328,JaredP.Scott,nm1962031
4405,GrimurHakonarson,nm1963886
5039,ReneLetzgus,nm1964261
4651,MehrdadOskouei,nm1964867
3032,KonstantinBojanov,nm1965972
1833,JanGassmann,nm1966841
6460,NoahTeichner,nm1967198
5119,PilarPalomero,nm1970178
4717,KirillSerebrennikov,nm1970598
5750,StephaneHaskell,nm1972767
201,GerardJohnson,nm1976116
3222,DavyChou,nm1976187
6754,NathanGreno,nm1977355
3614,BruceGoodison,nm1978693
4275,MasaSawada,nm1980385
4782,MichaelChaves,nm1980431
3671,YvesMatthey,nm1981031
5258,GovindaVanMaele,nm1985352
3224,DanteAriola,nm1986065
5601,StephaneBenLahcene,nm1988254
2922,MaryamKeshavarz,nm1991486
2713,DenisCote,nm1992193
4778,OlivierParthonnaud,nm1992879
1953,GeraldineNakache,nm1995246
5333,FrancoisYang,nm1995392
5993,MathiasThery,nm1995672
1719,DitoMontiel,nm1996918
7234,ChristinaD.King,nm2000939
4735,AttilaTill,nm2000966
4052,AureliaGeorges,nm2001191
1749,AudreyEstrougo,nm2001539
4715,GudmundurArnarGudmundsson,nm2003134
5524,AlejandraMarquezAbella,nm2004888
1522,PhilippeCalderon,nm2006889
7351,FilipaReis,nm2008556
5412,PierrePerifel,nm2010048
4038,DamienFritsch,nm2010118
1030,ThierryPiantanida,nm2011753
2187,ClaudiaLlosa,nm2013191
3898,CarlosLechuga,nm2013865
5969,JustinChon,nm2014390
4144,SamCullman,nm2014414
5649,DavidMambouch,nm2014969
4067,NoemieSaglio,nm2015017
4267,LoicJourdain,nm2015633
2038,RayaMartin,nm2016451
6009,SteffiNiederzoll,nm2016688
2685,GeraldineBajard,nm2017718
4049,PascalTessaud,nm2018249
2590,CyrilMennegun,nm2019517
3633,MahdiFleifel,nm2019600
2307,TizzaCovi,nm2021063
3206,MikaGianotti,nm2021338
4308,JakeSzymanski,nm2021516
3730,AnthonyChen,nm2021547
4483,PaulCalori,nm2021905
5236,NathanFrankowski,nm2021984
5672,AbdelRaoufDafri,nm2022382
4362,SachaWolff,nm2022637
948,RahmatouKeita,nm2025003
3880,AureliaBarbet,nm2025390
7329,MasayukiMiyaji,nm2025581
1412,ErwinWagenhofer,nm2025932
3815,AlfredoSoderguit,nm2026219
5542,MelinaMatsoukas,nm2027419
7038,KostiaTestut,nm2027544
3914,ChristopheCognet,nm2027961
3127,NadavLapid,nm2028715
1650,FrancoisRotger,nm2029182
2693,IoanaUricaru,nm2031842
3779,PhilippeAppietto,nm2032669
3477,BradBernstein,nm2034166
6976,JacopoSaraceni,nm2037256
4383,BettinaBlumner,nm2037668
3441,DanielBenmayor,nm2038223
2541,PascalBoucher,nm2038895
6719,MarcosMartinez,nm2039390
3040,AuraeusSolito,nm2039919
7066,RenataHeinen,nm2040043
6309,TeaLindeburg,nm2042393
3805,MilaTurajlic,nm2043219
5633,FrederiqueBedos,nm2046030
6419,FrancoisBusnel,nm2048849
6266,CorinnaFaith,nm2050631
6970,DominiqueLaroche,nm2050716
5918,SurenderReddy,nm2050878
3073,MorganMatthews,nm2051728
1331,HuguesMartin,nm2053050
6284,CheloLoureiro,nm2055719
3285,UmutDag,nm2056100
2498,AlexandreCoffre,nm2056306
2942,GiorgioDiritti,nm2056836
2772,HansVanNuffel,nm2057311
3297,AmiLivne,nm2057785
7171,AnasKhalaf,nm2058740
6943,AndroKrpan,nm2058797
6848,JuttaSchunemann,nm2059978
6468,AudreyGinestet,nm2060173
1326,StephaneAllagnon,nm2060443
5544,StevenWouterlood,nm2060498
3907,IgnasJonynas,nm2061225
5791,DamienBoyer,nm2062756
1229,AlexisDosSantos,nm2063526
6042,TessaLouise-Salome,nm2065702
1285,GoroMiyazaki,nm2066439
5539,GerardJohnstone,nm2067421
2745,JairoEduardoCarrillo,nm2070616
4174,MaximeGiroux,nm2072100
5964,NicolasMaury,nm2072440
4010,NicolasPesce,nm2073372
3231,Marie-FrancineLeJalu,nm2075482
5451,MartaBergman,nm2076872
5055,CarolineJules,nm2077589
3471,JamesJuneSchneider,nm2078220
3462,FabienConstant,nm2078734
3006,EmmanuelleAntille,nm2079400
4664,EtienneChaillou,nm2079905
3397,PippoMezzapesa,nm2081247
6926,JulianoRibeiroSalgado,nm2081382
3883,HafsiaHerzi,nm2082567
3726,KavehBakhtiari,nm2084600
7080,FritsStandaert,nm2089190
5963,LeeCronin,nm2091846
5314,FredericCarpentier,nm2092557
5597,JohnChester,nm2092965
6158,DamienLeone,nm2093171
4743,FredericGuillaume,nm2093636
6088,SebastianMeise,nm2098964
7320,YvoMuller,nm2099537
7506,MichaelBier,nm2099933
7516,BabakNazari,nm2102893
2986,NolwennLemesle,nm2102972
4031,MarieBelhomme,nm2103509
3571,EvaNeymann,nm2103751
2828,TobiasLindholm,nm2105585
3759,JoaoViana,nm2107670
2215,SamehZoabi,nm2108295
3277,NicolasCastro,nm2108768
785,VincentGerard,nm2112349
4072,ValerieMuller,nm2112604
3824,YuvalAdler,nm2113089
6547,OliverPark,nm2113474
4913,JulesHerrmann,nm2113644
3740,NoelleDeschamps,nm2114255
6401,RenanOzturk,nm2116880
6349,GuillaumeBureau,nm2119345
4216,SylvainDesclous,nm2119371
4519,PemaTseden,nm2120871
1921,ChloeZhao,nm2125482
2485,FrankHenry,nm2126069
5621,BlaiseHarrison,nm2126391
3988,GabePolsky,nm2126907
3983,PhilippeAractingi,nm2127004
6423,ColmBairead,nm2128139
2211,JBlakeson,nm2128335
6353,InesMariaBarrionuevo,nm2128882
1860,MonaAchache,nm2130235
2029,EmmaLuchini,nm2131278
3576,DheerajAkolkar,nm2131292
4653,HectorCabelloReyes,nm2131687
2923,LisaAschan,nm2132286
6777,TrevorMoore,nm2132571
3344,StephaneCazes,nm2132763
4013,VikasBahl,nm2134474
4057,AsafKorman,nm2135674
3775,JoseLuisValle,nm2136602
3901,NicolasBazz,nm2136863
4866,LucVerdier-Korbel,nm2137288
2751,AscanioCelestini,nm2141178
4534,TomGeens,nm2141257
